vehicle_category,make,model,manufacture_year,district,count
THREE WHEELER,BAJAJ,AR4S-UG,2010,COLOMBO,1
MOTOR CYCLE,SOURCE LINK,CAGW01,2016,COLOMBO,1
CAR,MERCEDES BENZ,B CLASS,2016,COLOMBO,2
MOTOR CYCLE,RW,JINBAO,2016,COLOMBO,5
MOTOR CYCLE,RW,HANBAO,2016,PUTTALAM,1
MOTOR CYCLE,RW,LIEBAO,2016,PUTTALAM,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,COLOMBO,6
MOTOR CYCLE,RW,SHANGJING,2017,COLOMBO,1
MOTOR CYCLE,TAILG,TDWG652,2018,KANDY,6
MOTOR CYCLE,RW,SCOOTER,2016,COLOMBO,1
MOTOR CYCLE,RW,LIBAO,2016,COLOMBO,3
MOTOR CYCLE,OKINAWA,PRAISE,2018,GALLE,2
MOTOR CYCLE,SHANGLING,SR COOL,2022,HAMBANTOTA,5
MOTOR CYCLE,SURYA,SR COOL,2023,GALLE,2
CAR,MERCEDES BENZ,EQS 450,2023,COLOMBO,2
CAR,AUDI,RS E-TRON GT,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQE300 AMG,2023,COLOMBO,1
CAR,MERCEDES BENZ,EQS-450 ZAA-296624,2024,COLOMBO,1
MOTOR CYCLE,REVOLT,RV400 BRZ,2024,COLOMBO,1
CAR,MERCEDES BENZ,EQB 250 PLUS,2024,COLOMBO,11
CAR,MERCEDES BENZ,EQE 300 SUV,2024,GALLE,1
MOTOR CYCLE,REVOLT,RV 400,2024,COLOMBO,20
CAR,AUDI,E-TRON-50,2024,COLOMBO,2
CAR,AUDI,Q4 40 ETRON S-LINE,2023,COLOMBO,1
MOTOR CYCLE,REVOLT,RV 1,2025,COLOMBO,2
CAR,TOYOTA,5AA-A202A  RAIZE,2022,KANDY,3
CAR,TOYOTA,5BA-A202A RAIZE,2025,RATNAPURA,1
MOTOR CYCLE,TMR LUYUAN,COLA 5,2025,MONERAGALA,8
MOTOR CYCLE,REVOLT,RV 1,2024,COLOMBO,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,MONERAGALA,6
MOTOR CYCLE,SHANGLING,SR COOL,2022,TRINCOMALEE,1
CAR,TOYOTA,5AA-A202A  RAIZE,2023,RATNAPURA,1
CAR,TOYOTA,5AA- A202A RAIZE,2025,COLOMBO,1
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,COLOMBO,2
MOTOR CYCLE,TAKASHI,ES PRO MAX,2025,GALLE,2
MOTOR CYCLE,TAKASHI,ES LITE,2025,PUTTALAM,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,TRINCOMALEE,1
MOTOR CYCLE,TAILG,F55,2025,GALLE,1
MOTOR CYCLE,TAILG,F72,2025,MONERAGALA,1
CAR,MERCEDES BENZ,BENZ B CLASS,2015,GAMPAHA,1
THREE WHEELER,BAJAJ,RE,2019,GAMPAHA,1
MOTOR CYCLE,SHANGLING,SR COOL,2022,KURUNEGALA,1
CAR,AUDI,Q4 SPORTBACK 40,2023,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,ANURADHAPURA,2
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,KURUNEGALA,1
CAR,TOYOTA,5AA-A202A RAIZE,2023,ANURADHAPURA,2
MOTOR CYCLE,TAILG,F72,2025,KURUNEGALA,3
MOTOR CYCLE,RW,SHANGJING,2016,KALUTARA,1
MOTOR CYCLE,RW,QUANNENGWANG,2016,KALUTARA,1
MOTOR CYCLE,TAKASHI,ES LITE,2025,KALUTARA,1
MOTOR CYCLE,TAILG,MENGSU,2025,POLONNARUWA,1
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,KALUTARA,1
MOTOR CYCLE,RW,CHAOYUE,2016,MATALE,1
CAR,MERCEDES BENZ,EQE 300 SUV,2024,MATARA,1
CAR,TOYOTA,5AA-A202A RAIZE,2025,KALUTARA,34
MOTOR CYCLE,REVOLT,RV BLAZE X,2025,ANURADHAPURA,2
CAR,JMEV,JX7001ERCBEV,2025,KALUTARA,1
MOTOR CYCLE,FARMERS,ELECTRIC BIKE,2008,GAMPAHA,1
MOTOR CYCLE,SUNBIKE,LITE,2016,GAMPAHA,1
MOTOR CYCLE,RW,JINGYING,2017,GAMPAHA,1
MOTOR CYCLE,TAILG,RED RABBIT,2024,GAMPAHA,3
MOTOR CYCLE,Y2,COOL RIDER,2024,GAMPAHA,1
MOTOR CYCLE,TMR LUYUAN,S18,2022,GAMPAHA,1
CAR,TOYOTA,5AA-A202A RAIZE,2024,PUTTALAM,3
MOTOR CYCLE,TMR LUYUAN,MNK3,2025,MATARA,1
CAR,TOYOTA,5AA-A202A RAIZE,2022,PUTTALAM,4
MOTOR CYCLE,SUNWE,HAWK,2017,GAMPAHA,1
MOTOR CYCLE,OKINAWA,RIDGE,2018,KILINOCHCHI,3
MOTOR CYCLE,TAKASHI,ES PRO,2025,RATNAPURA,1
MOTOR CYCLE,TAKASHI,ES PRO PLUS,2025,RATNAPURA,3
MOTOR CYCLE,TAKASHI,ES LITE,2025,RATNAPURA,3
